2017-11-18 09:56:55.919 INFO  ExpoClient not open Dump 
2017-11-18 09:56:55.934 INFO  Libevent version is 2.0.21-stable. 
2017-11-18 09:56:55.934 INFO  The platform's Avalibale methods are:win32; 
2017-11-18 09:56:57.167 INFO  connect to 23.106.155.234:9008 ok 
2017-11-18 09:56:57.323 INFO  now send Expo reg message to 23.106.155.234:9008 
2017-11-18 09:56:57.572 INFO  App connected and registering to 23.106.155.234:9008 registed address is G1S3A8290
 
2017-11-18 09:56:58.103 INFO  AppRequestABTest appClassID=3100,AppAddress=G1S3A8290,isABTesting=0 
2017-11-18 10:14:23.017 ERROR recv data from socket 1688 error,now close it. errCode:10054,errInfo:Connection reset by peer [WSAECONNRESET ] 
2017-11-18 10:14:23.017 INFO  Session begin Destroy from 23.106.155.234:9008 
2017-11-18 10:14:23.860 INFO  connect to 23.106.155.234:9008 ok 
2017-11-18 10:14:23.969 INFO  now send Expo reg message to 23.106.155.234:9008 
2017-11-18 10:14:24.234 INFO  App connected and registering to 23.106.155.234:9008 registed address is G1S3A8295
 
2017-11-18 10:14:24.499 INFO  AppRequestABTest appClassID=3100,AppAddress=G1S3A8295,isABTesting=0 
2017-11-18 12:03:19.915 INFO  Session begin Destroy from 23.106.155.234:9008 
